"name","type","breed","color","sex","size","date_of_birth","impound_number","kennel_number","id","intake_date","outcome_date","days_in_shelter","intake_type","intake_subtype","outcome_type","outcome_subtype","intake_condition","outcome_condition","intake_jurisdiction","outcome_jurisdiction","zip_code","location","intake_total"
"RUMI","DOG","CHIHUAHUA SH","CREAM","Neutered","SMALL","2015-10-20T00:00:00.000","K22-043131","DS93","A414151","2022-11-14T00:00:00.000","2022-11-26T00:00:00.000","12","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_CALL","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","COUNTY","OUT OF COUNTY","94567","
,  94567
(38.61533, -122.42756)","1"
"RUBY","DOG","PIT BULL/MIX","WHITE/BROWN","Female","LARGE","2019-12-07T00:00:00.000","K22-042506","DS90","A408136","2022-09-13T00:00:00.000","2022-11-26T00:00:00.000","74","OWNER SURRENDER","OVER THE COUNTER","TRANSFER","MAR","UNKNOWN","HEALTHY","SANTA ROSA",,"94510","
,  94510
(38.05285, -122.15351)","1"
,"OTHER","CHICKEN","GREEN/ORANGE","Male","SMALL",,"K22-043202","LS03","A414246","2022-11-26T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"COUNTY",,,,"1"
"GIGI","DOG","PIT BULL","BROWN","Female","MED","2021-09-26T00:00:00.000","K22-043197","DS74","A414241","2022-11-25T00:00:00.000","2022-11-26T00:00:00.000","1","CONFISCATE","FLD_ARREST","RETURN TO OWNER","OVER THE COUNTER_CALL","HEALTHY","HEALTHY","SANTA ROSA","*WINDSOR","95492","
,  95492
(38.54938, -122.81321)","1"
,"OTHER","CHICKEN","RED","Male","SMALL",,"K22-043203","LS03","A414247","2022-11-26T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"COUNTY",,,,"1"
,"DOG","GERM SHEPHERD","BLACK/TAN","Male","LARGE",,"K22-043201","DS73","A414244","2022-11-26T00:00:00.000","2022-11-26T00:00:00.000","0","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WALKIN","UNKNOWN","PENDING","COUNTY","*PETALUMA","94952","
,  94952
(38.23262, -122.64426)","1"
"*TILLY","OTHER","GUINEA PIG","BLACK","Female","SMALL","2020-10-15T00:00:00.000","K22-042833","LOBBY","A413703","2022-10-15T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"HEALTHY",,"SANTA ROSA",,,,"1"
"COCONUT","DOG","AFFENPINSCHER/MIX","AGOUTI","Neutered","MED",,"K22-043198","HSSC","A414240","2022-11-26T00:00:00.000","2022-11-26T00:00:00.000","0","OWNER SURRENDER","FIELD","TRANSFER","HSSC","HEALTHY","HEALTHY","SANTA ROSA","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
,"OTHER","CHICKEN","RED","Male","SMALL",,"K22-043204","LS03","A414248","2022-11-26T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"COUNTY",,,,"1"
"*BAMBI","DOG","PIT BULL/MIX","TAN/WHITE","Female","LARGE","2013-11-23T00:00:00.000","K22-042933","DA20","A413847","2022-10-23T00:00:00.000",,"0","CONFISCATE","FLD_ABAND",,,"TREATABLE/REHAB",,"SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
,"DOG","MALTESE/POODLE MIN","TAN","Female","SMALL",,"K22-043200","DS58","A414243","2022-11-26T00:00:00.000",,"0","STRAY","FIELD",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Male","SMALL","2021-05-26T00:00:00.000","K22-043207","TX","A414251","2022-11-26T00:00:00.000","2022-11-26T00:00:00.000","0","STRAY","OVER THE COUNTER","TRANSFER","NBAS","HEALTHY","HEALTHY","*WINDSOR","*PETALUMA","94952","
,  94952
(38.23262, -122.64426)","1"
"*GRAVY","OTHER","GUINEA PIG","AGOUTI","Male","SMALL","2020-11-22T00:00:00.000","K22-042591","LOBBY","A413363","2022-09-22T00:00:00.000","2022-11-26T00:00:00.000","65","STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","COUNTY","95403","
,  95403
(38.51311, -122.75502)","1"
,"DOG","PIT BULL","BR BRINDLE/TAN","Neutered","MED","2022-01-28T00:00:00.000","K22-043212","DS74","A414259","2022-11-28T00:00:00.000",,"0","STRAY","FIELD",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
"MAMAS","DOG","CHIHUAHUA SH","TAN","Female","SMALL","2020-11-28T00:00:00.000","K22-043216","TRUCK","A414262","2022-11-28T00:00:00.000","2022-11-28T00:00:00.000","0","STRAY","FIELD","RETURN TO OWNER","FLD_NBR","UNKNOWN","PENDING","COUNTY","COUNTY","95476","
,  95476
(38.29188, -122.45728)","1"
"CHIQUITA","DOG","CHIHUAHUA SH","TAN/WHITE","Female","SMALL","2021-11-28T00:00:00.000","K22-043217","TRUCK","A414263","2022-11-28T00:00:00.000","2022-11-28T00:00:00.000","0","STRAY","FIELD","RETURN TO OWNER","FLD_NBR","UNKNOWN","PENDING","COUNTY","COUNTY","95476","
,  95476
(38.29188, -122.45728)","1"
"*FIONA","DOG","GERM SHEPHERD","BLACK/TAN","Spayed","LARGE","2015-08-03T00:00:00.000","K22-041686","DA41","A412080","2022-06-20T00:00:00.000","2022-11-29T00:00:00.000","162","STRAY","FIELD","ADOPTION","SCAS WEB","HEALTHY","HEALTHY","COUNTY","*WINDSOR","95492","
,  95492
(38.54938, -122.81321)","1"
"SMOKEY","CAT","DOMESTIC SH","GRAY","Female","SMALL",,"K22-043185","CS06","A414224","2022-11-22T00:00:00.000","2022-11-23T00:00:00.000","1","STRAY","FIELD","DIED","IN KENNEL","UNKNOWN","DEAD","COUNTY","SANTA ROSA","95407","
,  95407
(38.41483, -122.72707)","1"
"ZEN","DOG","LABRADOR RETR","YELLOW","Male","MED",,"K22-043211","DS59","A414257","2022-11-28T00:00:00.000","2022-11-29T00:00:00.000","1","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","TREATABLE/REHAB","HEALTHY","SANTA ROSA",,"95501","
,  95501
(40.793421, -124.157467)","1"
"BO","DOG","LABRADOR RETR/MIX","BLACK/WHITE","Neutered","LARGE","2011-08-26T00:00:00.000","K22-043214","DS90","A278790","2022-11-28T00:00:00.000","2022-11-29T00:00:00.000","1","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_CALL","UNKNOWN","PENDING","COUNTY","COUNTY","95476","
,  95476
(38.29188, -122.45728)","1"
"CALLO","DOG","PIT BULL","BR BRINDLE/WHITE","Neutered","LARGE","2020-11-05T00:00:00.000","K22-043058","DA13","A414045","2022-11-05T00:00:00.000",,"0","OWNER SURRENDER","OVER THE COUNTER",,,"HEALTHY",,"SANTA ROSA",,,,"1"
"*SHADOW","OTHER","RABBIT SH","AGOUTI","Female","SMALL","2021-05-29T00:00:00.000","K22-043223","CH","A414273","2022-11-29T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"HEALTHY",,"SANTA ROSA",,,,"1"
"BRUCE","DOG","ANATOL SHEPHERD","WHITE/BLACK","Neutered","X-LRG","2021-12-22T00:00:00.000","K22-042929","DA06","A413836","2022-10-22T00:00:00.000",,"0","OWNER SURRENDER","FIELD",,,"HEALTHY",,"COUNTY","COUNTY","95404","
,  95404
(38.43807, -122.71247)","1"
,"DOG","POODLE MIN/MIX","BLACK/WHITE","Female","SMALL","2022-08-29T00:00:00.000","K22-043224","DS82","A414275","2022-11-29T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
,"CAT","DOMESTIC SH","BLACK","Female","SMALL",,"K22-043231","SMM","A414283","2022-11-29T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"COUNTY",,,,"1"
"*MOON","OTHER","LOP-HOLLAND/MIX","GRAY","Female","SMALL","2021-05-29T00:00:00.000","K22-043199","CH","A414242","2022-11-26T00:00:00.000",,"0","STRAY","FIELD",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
"PRINCE HENRY","CAT","DOMESTIC SH","ORG TABBY/WHITE","Neutered","SMALL","2010-01-01T00:00:00.000","K22-043189","CI01","A414232","2022-11-23T00:00:00.000",,"0","STRAY","FIELD",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
,"CAT","DOMESTIC SH","BRN TABBY","Male","SMALL",,"K22-043221","CS06","A414270","2022-11-29T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
"TIGER","DOG","PIT BULL/MIX","BR BRINDLE","Male","LARGE","2022-04-23T00:00:00.000","K22-043156","DS86","A414195","2022-11-17T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA","*PETALUMA","94954","
,  94954
(38.245316, -122.59871)","1"
"*GERDIE","CAT","DOMESTIC SH","BUFF","Spayed","SMALL","2012-09-15T00:00:00.000","K22-042534","CI01","A413270","2022-09-15T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"TREATABLE/MANAGEABLE",,"COUNTY",,,,"1"
"REEKO","DOG","CHIHUAHUA & MIX","TAN","Neutered",,"2014-09-22T00:00:00.000","K22-042784","DA25","A364539","2022-10-13T00:00:00.000","2022-11-29T00:00:00.000","47","CONFISCATE","FLD_HOSPTL","ADOPTION","REFERRAL-F","UNKNOWN","HEALTHY","SANTA ROSA","COUNTY","95472","
,  95472
(38.40179, -122.82512)","1"
"KIKI","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","SMALL","2020-11-29T00:00:00.000","K22-043219","CS06","A414268","2022-11-29T00:00:00.000","2022-11-29T00:00:00.000","0","STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_CALL","UNKNOWN","PENDING","SANTA ROSA","SANTA ROSA","95404","
,  95404
(38.43807, -122.71247)","1"
"*FORREST","CAT","DOMESTIC SH","BLACK","Male","SMALL",,"K22-043061","CS06","A414047","2022-11-05T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"COUNTY",,,,"1"
"*JADE","DOG","PIT BULL","TAN/WHITE","Spayed","MED","2021-10-27T00:00:00.000","K22-043241","DA37","A413422","2022-11-30T00:00:00.000",,"0","ADOPTION RETURN","OVER THE COUNTER",,,"HEALTHY",,"SANTA ROSA",,,,"1"
"MANDY","CAT","DOMESTIC LH/MIX","BRN TABBY/WHITE","Female","SMALL","2009-11-30T00:00:00.000","K22-043067","CS06","A414057","2022-11-07T00:00:00.000",,"0","STRAY","FIELD",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
"*JENNY","CAT","DOMESTIC SH","BLACK","Female","SMALL","2020-11-05T00:00:00.000","K22-043062","CS06","A414049","2022-11-05T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"COUNTY",,,,"1"
"CASH","DOG","GERM SHEPHERD","BLACK/TAN","Male","LARGE","2018-03-25T00:00:00.000","K22-042927","DS70","A393405","2022-10-22T00:00:00.000",,"0","STRAY","FIELD",,,"UNKNOWN",,"COUNTY","COUNTY","95401","
,  95401
(38.446019, -122.766748)","1"
"MIMI","DOG","CHIHUAHUA SH","CREAM","Spayed","TOY","2011-09-11T00:00:00.000","K22-043220","DS59","A414269","2022-11-29T00:00:00.000","2022-11-30T00:00:00.000","1","STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_CALL","UNKNOWN","PENDING","SANTA ROSA","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
"*FREYA","CAT","DOMESTIC SH","TORTIE","Spayed","SMALL","2019-10-21T00:00:00.000","K22-042912","CA02","A413789","2022-10-21T00:00:00.000",,"0","CONFISCATE","FIELD",,,"UNKNOWN",,"SANTA ROSA","SANTA ROSA","95407","
,  95407
(38.41483, -122.72707)","1"
"*LARRY","CAT","DOMESTIC SH","GRAY TABBY/WHITE","Male","SMALL","2018-11-30T00:00:00.000","K22-043176","CS06","A414210","2022-11-19T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
,"DOG","PIT BULL","TAN/WHITE","Female","PUPPY","2022-05-29T00:00:00.000","K22-043222","DA23","A414271","2022-11-29T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
"COCO","CAT","DOMESTIC SH","TORTIE","Female","KITTN","2022-07-01T00:00:00.000","K22-042333","CI02","A412986","2022-09-13T00:00:00.000","2022-11-30T00:00:00.000","78","OWNER SURRENDER","OVER THE COUNTER","ADOPTION","FINDER","TREATABLE/REHAB","HEALTHY","SANTA ROSA","COUNTY","94951","
,  94951
(38.29715, -122.66645)","1"
"*OISHI","CAT","DOMESTIC SH","WHITE/GRAY","Male","SMALL","2020-11-12T00:00:00.000","K22-043124","CS06","A414136","2022-11-12T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"HEALTHY",,"SANTA ROSA",,,,"1"
"*CARL","CAT","DOMESTIC SH","ORG TABBY","Neutered","SMALL","2022-05-21T00:00:00.000","K22-042914","LOBBY","A413791","2022-10-21T00:00:00.000",,"0","CONFISCATE","FIELD",,,"UNKNOWN",,"SANTA ROSA","SANTA ROSA","95407","
,  95407
(38.41483, -122.72707)","1"
"*HOLLY","CAT","DOMESTIC SH","BLACK/WHITE","Female","SMALL","2020-11-01T00:00:00.000","K22-043015","CS05","A413988","2022-11-01T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"COUNTY",,,,"1"
"LUCIFER","CAT","SIAMESE","SEAL PT","Neutered","SMALL","2022-07-03T00:00:00.000","K22-042915","LOBBY","A413792","2022-10-21T00:00:00.000","2022-11-30T00:00:00.000","40","CONFISCATE","FIELD","ADOPTION","WALKIN","UNKNOWN","HEALTHY","SANTA ROSA","SANTA ROSA","95405","
,  95405
(38.44473, -122.68655)","1"
"RAMBO","DOG","GERM SHEPHERD/MIX","BR BRINDLE/WHITE","Male","LARGE","2020-12-22T00:00:00.000","K22-043179","DS56","A414214","2022-11-21T00:00:00.000","2022-11-30T00:00:00.000","9","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","UNKNOWN","PENDING","COUNTY",,"94945","
,  94945
(38.10609, -122.5679)","1"
,"CAT","DOMESTIC SH","GRAY TABBY","Male","SMALL","2020-11-30T00:00:00.000","K22-043236","HSSC","A414289","2022-11-10T00:00:00.000","2022-11-30T00:00:00.000","20","STRAY","FIELD","RETURN TO OWNER",,"UNKNOWN",,"SANTA ROSA",,,,"1"
"*CLAUS","CAT","DOMESTIC SH","GRAY/WHITE","Male","SMALL","2021-12-27T00:00:00.000","K22-042973","CS05","A413933","2022-10-27T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
,"CAT","DOMESTIC SH","GRAY","Male","SMALL",,"K22-043260","CA03","A414309","2022-12-01T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
"GRACIE","CAT","DOMESTIC SH","BLUE CREAM/CALICO","Spayed","SMALL",,"K22-043215","CS06","A414261","2022-11-28T00:00:00.000","2022-12-01T00:00:00.000","3","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_CALL","UNKNOWN","PENDING","SANTA ROSA","SANTA ROSA","95401","
,  95401
(38.446019, -122.766748)","1"
,"DOG","GERM SHEPHERD","BLACK/TAN","Male","LARGE",,"K22-043233","VET","A414286","2022-11-30T00:00:00.000",,"0","STRAY","FIELD",,,"UNKNOWN",,"COUNTY",,,,"1"
,"CAT","DOMESTIC SH","ORANGE","Male","SMALL",,"K22-043259","CA03","A414308","2022-12-01T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
"DAIMOKU","DOG","GERM SHEPHERD/LABRADOR RETR","RED","Spayed","MED","2020-06-01T00:00:00.000","K22-043213","DA28","A414260","2022-11-28T00:00:00.000","2022-12-01T00:00:00.000","3","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WALKIN","UNKNOWN","PENDING","SANTA ROSA","COUNTY","95436","
,  95436
(38.47569, -122.89487)","1"
"*ATTICUS","DOG","WELSH CORGI PEM/MIX","BR BRINDLE","Neutered","MED","2020-11-02T00:00:00.000","K22-043036","DA01","A414011","2022-11-02T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"HEALTHY",,"SANTA ROSA",,,,"1"
,"DOG","GERM SHEPHERD/MIX","TAN","Male","MED",,"K22-043258","DQ110","A414307","2022-12-01T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
"*CASH","CAT","DOMESTIC SH","BLACK/WHITE","Neutered","SMALL","2021-06-03T00:00:00.000","K22-041233","CS05","A411279","2022-04-28T00:00:00.000","2022-12-01T00:00:00.000","217","CONFISCATE","FLD_CRUEL","TRANSFER","WE CARE","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY","94574","
,  94574
(38.5061, -122.47168)","1"
,"OTHER","CANARY","WHITE/Y BRINDLE","Unknown","SMALL",,"K22-043254","SMM","A414304","2022-12-01T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"SANTA ROSA",,,,"1"
"ARIZONA","CAT","DOMESTIC SH","GRAY TABBY/WHITE","Spayed","SMALL","2008-11-30T00:00:00.000","K22-043235","SMM","A414288","2022-11-30T00:00:00.000","2022-11-30T00:00:00.000","0","STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","COUNTY",,,,"1"
"*DOLLY","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","SMALL","2021-06-03T00:00:00.000","K22-041232","CS05","A411278","2022-04-28T00:00:00.000","2022-12-01T00:00:00.000","217","CONFISCATE","FLD_CRUEL","TRANSFER","WE CARE","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY","94574","
,  94574
(38.5061, -122.47168)","1"
,"CAT","DOMESTIC MH","BRN TABBY/WHITE","Male","SMALL","2020-12-01T00:00:00.000","K22-043256","CS05","A414305","2022-12-01T00:00:00.000",,"0","STRAY","OVER THE COUNTER",,,"UNKNOWN",,"COUNTY",,,,"1"
,"DOG","GERM SHEPHERD/MIX","WHITE/WHITE","Neutered","LARGE","2019-11-30T00:00:00.000","K22-043234","DS64","A414287","2022-11-30T00:00:00.000","2022-12-01T00:00:00.000","1","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_CALL","UNKNOWN","PENDING","COUNTY","COUNTY","95472","
,  95472
(38.40179, -122.82512)","1"
"*FIONA","DOG","GERM SHEPHERD","BLACK/TAN","Spayed","LARGE","2015-08-03T00:00:00.000","K22-043249","DA32","A412080","2022-12-01T00:00:00.000",,"0","ADOPTION RETURN","FIELD",,,"UNKNOWN",,"*WINDSOR",,,,"1"
"SICARIO","DOG","PIT BULL","WHITE/BROWN","Male","MED",,"K22-042830","DS55","A413700","2022-10-15T00:00:00.000","2022-12-02T00:00:00.000","48","CONFISCATE","FLD_ABAND","EUTHANIZE","AGGRESSIVE","UNKNOWN","UNTREATABLE","COUNTY",,,,"1"
"BARU","DOG","GERM SHEPHERD/DOBERMAN PINSCH","BLACK/TAN","Male","LARGE","2021-12-02T00:00:00.000","K22-043232","DA24","A414284","2022-11-29T00:00:00.000","2022-12-02T00:00:00.000","3","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_CALL","UNKNOWN","PENDING","SANTA ROSA","SANTA ROSA","95407","
,  95407
(38.41483, -122.72707)","1"
"PRINCESS","DOG","CHIHUAHUA SH","FAWN","Spayed","SMALL","2016-01-11T00:00:00.000","K18-026919","DA04","A366650","2018-01-04T00:00:00.000","2018-01-16T00:00:00.000","12","STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","*ROHNERT PARK","94928","
,  94928
(38.34246, -122.71181)","1"
"*PEEKA","CAT","DOMESTIC SH","WHITE/BLACK","Spayed","SMALL","2022-04-01T00:00:00.000","K22-042716","CA02","A413518","2022-10-01T00:00:00.000","2022-12-02T00:00:00.000","62","STRAY","OVER THE COUNTER","TRANSFER","HSSC","HEALTHY","HEALTHY","SANTA ROSA","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
"*CHLOE","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","KITTN","2022-08-01T00:00:00.000","K22-042703","LOBBY","A413509","2022-10-01T00:00:00.000","2022-12-02T00:00:00.000","62","OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA","95409","
,  95409
(38.46417, -122.67071)","1"
"CJ","CAT","DOMESTIC SH","ORG TABBY","Neutered","SMALL","2019-10-21T00:00:00.000","K22-042913","CA02","A413790","2022-10-21T00:00:00.000","2022-12-02T00:00:00.000","42","CONFISCATE","FIELD","TRANSFER","HSSC","UNKNOWN","HEALTHY","SANTA ROSA","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
"*SUNFLOWER","CAT","DOMESTIC SH","ORANGE","Spayed","SMALL","2022-07-03T00:00:00.000","K22-042911","LOBBY","A413788","2022-10-21T00:00:00.000","2022-12-02T00:00:00.000","42","CONFISCATE","FIELD","ADOPTION","WALKIN","UNKNOWN","HEALTHY","SANTA ROSA","*WINDSOR","95492","
,  95492
(38.54938, -122.81321)","1"
"SABRINA","CAT","DOMESTIC SH","BLACK","Spayed","SMALL","2022-03-14T00:00:00.000","K22-042801","CA03","A413670","2022-10-14T00:00:00.000","2022-10-19T00:00:00.000","5","STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_WEB","UNKNOWN","PENDING","SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
"RORY","DOG","CHIHUAHUA SH","WHITE/BROWN","Spayed","SMALL","2022-08-23T00:00:00.000","K22-043081","DA02","A414080","2022-11-09T00:00:00.000","2022-12-02T00:00:00.000","23","STRAY","OVER THE COUNTER","ADOPTION","SCAS WEB","HEALTHY","HEALTHY","SANTA ROSA","*ROHNERT PARK","94928","
,  94928
(38.34246, -122.71181)","1"
